komentar,like,waktu,komentar_clean,sentimen
This case happened in Indonesia. A human rights activist who often speaks out about human rights and recently criticized the return of military influence in politics was attacked with acid by “unknown people”. The attack happened when he had just returned home after being a guest on a podcast discussing the risks of increasing military power.,114,2026-03-14 21:25:14 UTC,this case happened in indonesia a human rights activist who often speaks out about human rights and recently criticized the return of military influence in politics was attacked with acid by unknown people the attack happened when he had just returned home after being a guest on a podcast discussing the risks of increasing military power,netral
thank you 😊 💓,10,2026-03-14 21:29:30 UTC,thank you,netral
My pleasure 😊,1,2026-03-14 21:35:19 UTC,my pleasure,netral
Did he die,0,2026-03-14 22:02:08 UTC,did he die,netral
"He is still alive, but he suffered serious major burns and injuries to his face, his eyes, his hands, and his chest. Even worse, a few hours after the incident, the Indonesian President said in a speech that “he would discipline”people who criticize his government..",5,2026-03-14 22:20:53 UTC,he is still alive but he suffered serious major burns and injuries to his face his eyes his hands and his chest even worse a few hours after the incident the indonesian president said in a speech that he would disciplinepeople who criticize his government,netral
thank u,1,2026-03-15 18:11:30 UTC,thank u,netral
I think they poured him acid 🥺,0,2026-03-16 20:14:33 UTC,i think they poured him acid,netral
hola allí esta para traducir,0,2026-03-15 21:32:42 UTC,hola all esta traducir,netral
We Dey ere 🙄,0,2026-03-15 20:56:21 UTC,we dey ere,netral
They threw boiling water at him.,0,2026-03-15 09:47:46 UTC,they threw boiling water at him,netral
won't find em here bud,0,2026-03-14 21:13:52 UTC,wont find em here bud,netral
hoo😳😳😳,1,2026-03-14 22:14:47 UTC,hoo,netral
So is he still alive and on a good health treatment?,1,2026-03-15 09:25:44 UTC,so is he still alive and on a good health treatment,netral
"Thankfully, he is still alive. However, in Indonesia, the government doesn’t provide free medical treatment for people who are injured because of crimes. Therefore, the public is now collecting donations to help cover his medical treatment (which is quite expensive).",1,2026-03-15 19:19:18 UTC,thankfully he is still alive however in indonesia the government doesnt provide free medical treatment for people who are injured because of crimes therefore the public is now collecting donations to help cover his medical treatment which is quite expensive,netral
"Thanks for the reply...
I think the government
should do something about it
this is too much for him to carry
wishing him speedy recovery 🙏🏾",0,2026-03-16 15:54:54 UTC,thanks for the reply i think the government should do something about it this is too much for him to carry wishing him speedy recovery,netral
this is very bad and very scary. acid is no joke,0,2026-03-16 10:31:41 UTC,this is very bad and very scary acid is no joke,netral
He is a human rights activist who was splashed with acid in the face by Indonesian army,0,2026-04-19 05:22:50 UTC,he is a human rights activist who was splashed with acid in the face by indonesian army,netral
lol me too,0,2026-03-17 00:02:57 UTC,lol me too,netral
Me too,0,2026-03-15 07:47:30 UTC,me too,netral
ya Allah lindungilah org2 yg menegakkan keadilan,22982,2026-03-13 17:31:26 UTC,ya allah lindungilah org yg menegakkan keadilan,positif
"Aamiin… semoga dikasih ganjaran berlipat bagi pelaku dan yg nyuruh, bulan puasa malah dzalim begini😭😭😭",229,2026-03-13 17:55:33 UTC,aamiin semoga dikasih ganjaran berlipat pelaku yg nyuruh puasa dzalim,positif
apaan sih gk jls,1,2026-03-13 17:55:52 UTC,sih gk jls,netral
"konyol nih orang, berdoa Kok dibilang gak jelas",191,2026-03-13 18:09:23 UTC,konyol nih orang berdoa dibilang gak,positif
yg disiram itu bukannya org org yg berusaha menegakkan keadilan ya?,43,2026-03-13 17:41:26 UTC,yg disiram org org yg berusaha menegakkan keadilan ya,netral
"nah ini jadi alasan gw nolak tawaran kerja jadi KPK kemaren, iya sih gw kurang takut krna lbih tkut allah, tpi yg gw takut keluarga gw yg kena teror. ngeri lah klo berurusan sama bandit, iblis aja keknya geleng2 kpla",27,2026-03-13 20:02:16 UTC,alasan gw nolak tawaran kerja kpk kemaren iya sih gw takut krna lbih tkut allah tpi yg gw takut keluarga gw yg kena teror ngeri klo berurusan bandit iblis aja keknya geleng kpla,netral
aamiin,8,2026-03-13 17:40:45 UTC,aamiin,positif
aamiin 🤲,5,2026-03-13 17:37:58 UTC,aamiin,positif
aamiin yra,3,2026-03-13 18:47:27 UTC,aamiin yra,positif
Aamiin,0,2026-03-16 14:55:40 UTC,aamiin,positif
Aamiin,0,2026-03-14 07:16:53 UTC,aamiin,positif
aamiin🤲🥺,0,2026-03-14 05:01:25 UTC,aamiin,positif
Aamiin,0,2026-03-14 03:00:04 UTC,aamiin,positif
Aamiin 3 ya robbal alamin,0,2026-03-14 00:42:27 UTC,aamiin ya robbal alamin,positif
ngga mungkin yg ada pada terancam,0,2026-03-13 23:25:29 UTC,ngga yg terancam,netral
Aamiin Ya Allah,0,2026-03-13 22:41:32 UTC,aamiin ya allah,positif
aamiin 🤲,0,2026-03-13 21:53:25 UTC,aamiin,positif
amiin,0,2026-03-13 21:42:51 UTC,amiin,netral
Aamiin ya Allah 🤲,0,2026-03-13 21:16:09 UTC,aamiin ya allah,positif
Aaamiinnn Allohuma Aaamiinnn,0,2026-03-13 21:13:16 UTC,aaamiinnn allohuma aaamiinnn,positif
aamiin🤲,0,2026-03-13 20:38:34 UTC,aamiin,positif
lekas sembuh dan mudah2 an segera tertangkap,83605,2026-03-13 17:38:56 UTC,lekas sembuh mudah an tertangkap,positif
ngawor baca yg benerr di capt itu akibatnya bisa meninggal dunia bukan si korban yg meninggal dunia,949,2026-03-13 17:46:56 UTC,ngawor baca yg benerr capt akibatnya meninggal dunia si korban yg meninggal dunia,netral
dibaca lekk yng benerr,177,2026-03-13 17:47:35 UTC,dibaca lekk yng benerr,netral
ketik apa dia?,43,2026-03-13 18:30:47 UTC,ketik,netral
mninggal ktny,0,2026-03-13 19:11:36 UTC,mninggal ktny,netral
"GA MUNGKIN KAK😂 UDAH BERAPA JUTA KASUS YG KEK GINI TRSANGKA NYA GA PRNAH KETEMU,KARENA SURUHAN DARI PETINGGI YANG PUNYA KUASA😂😂😂 KAYA GATAU INDO SEBOBROK APA AJA😂😂😂",69,2026-03-13 19:17:41 UTC,ga kak udah juta yg kek gini trsangka nya ga prnah ketemukarena suruhan petinggi kuasa kaya gatau indo sebobrok aja,negatif
coba jangan dibaca aja tapi juga dipahami😊,19,2026-03-13 17:47:06 UTC,coba dibaca aja dipahami,netral
baca bener2 tu caption baru komen,8,2026-03-13 17:46:18 UTC,baca bener tu caption komen,netral
banyakin membaca dej,2,2026-03-13 17:47:18 UTC,banyakin membaca dej,netral
Aamiin ya Allah🤲,1,2026-03-13 18:43:20 UTC,aamiin ya allah,positif
Aamin Ya Allah Tuhanku 🤲,0,2026-03-14 00:22:23 UTC,aamin ya allah tuhanku,positif
tngkp aj sendri kn udh gk prcya sama pk pol,0,2026-03-13 23:42:49 UTC,tngkp aj sendri kn udh gk prcya pk pol,netral
"Aamiin ya Alloh 🥺
pelaku jg SMG CPT tertangkap. jahat bgtt sii",0,2026-03-13 23:33:22 UTC,aamiin ya alloh pelaku jg smg cpt tertangkap jahat bgtt sii,positif
"ga mungkin ketangkep, dalangnya kan mereka",0,2026-03-13 22:08:19 UTC,ga ketangkep dalangnya,negatif
ga bakal org masih komplotan wkwk🗿,0,2026-03-13 19:41:50 UTC,ga org komplotan wkwk,netral
di tangkep paling cuma penjara 2 tahun kyak kasus nya Novel Baswedan 😌,8,2026-03-13 18:29:44 UTC,tangkep penjara kyak nya novel baswedan,netral
kan bagian dari mereka juga wkwk,0,2026-03-13 19:05:21 UTC,wkwk,netral
aminn,0,2026-03-13 18:45:51 UTC,aminn,positif
BACA LA BETUL² KAU NI aishhh,0,2026-03-13 18:07:47 UTC,baca la kau ni aishhh,netral
"""dapat mengakibatkan luka fatal yang serius hingga meninggal dunia"" baca yg bener lagi deh",0,2026-03-13 18:07:18 UTC,mengakibatkan luka fatal serius meninggal dunia baca yg bener deh,netral
maklu kali,0,2026-03-13 17:53:35 UTC,maklu kali,netral
kok masih ada orang pola pikir begitu,51150,2026-03-13 17:03:43 UTC,orang pola pikir,netral
"iya jir, miskin ekonomi emang",2432,2026-03-13 17:11:23 UTC,iya jir miskin ekonomi emang,netral
"pastinya org pernah sakit hati..pda korban..
ada asap pasti ada apilah😝",610,2026-03-13 17:19:19 UTC,pastinya org sakit hatipda korban asap apilah,negatif
sakit hati liat muka mu,0,2026-03-13 17:49:29 UTC,sakit hati liat muka mu,negatif
biasanya yg ngelakuin gen Z anj gak kedidik,345,2026-03-13 17:20:56 UTC,yg ngelakuin gen z anj gak kedidik,netral
BIASANYA BEGITU ORANG BAYARAN,128,2026-03-13 17:24:57 UTC,orang bayaran,netral
itu aktivis yg nyeting oknum lah gk bkl di usut itu,92,2026-03-13 17:23:04 UTC,aktivis yg nyeting oknum gk bkl usut,netral
itu yg jadi pertanyaan,41,2026-03-13 17:22:28 UTC,yg,netral
jadi bener bener takut izin tanya kalo pake helm tetep kena ga yah jadi bener bener was was ya Allah dah mau lebaran plis ini bener bener kaya sakit dari triaakan nya plis jadi grogi ketemu orang papasan😔😔😔,22,2026-03-13 17:31:51 UTC,bener bener takut izin kalo pake helm tetep kena ga yah bener bener was was ya allah dah lebaran plis bener bener kaya sakit triaakan nya plis grogi ketemu orang papasan,netral
ntah apa ya pemikirannya,19,2026-03-13 17:28:06 UTC,ntah ya pemikirannya,netral
"ada 2 macam org didunia ini
1. org yg bnyak pikiran
2. org yg ga punya pikiran",11,2026-03-13 17:32:42 UTC,org didunia org yg bnyak pikiran org yg ga pikiran,netral
"mafia kak,semua karn uang dan kepentingan",5,2026-03-13 17:27:53 UTC,mafia kaksemua karn uang kepentingan,negatif
dibayar bro,2,2026-03-13 17:45:02 UTC,dibayar bro,netral
"ka dendam ny manusia, irinya manusia itu lebih jahat dari jin",2,2026-03-13 17:26:47 UTC,ka dendam ny manusia irinya manusia jahat jin,negatif
bginilah jika uang hnya pnya pjbt.. segala cara dihalalkan untuk menindas si miskin,1,2026-03-13 21:45:05 UTC,bginilah uang hnya pnya pjbt dihalalkan menindas si miskin,netral
"banyak kak ngeri itu air keras, katanya itu suruhan org yg jahat",0,2026-03-15 15:10:29 UTC,kak ngeri air keras suruhan org yg jahat,negatif
itu dia di bayar makannya mau,0,2026-03-15 09:11:31 UTC,bayar makannya,netral
itu pasti orang bayaran.,0,2026-03-14 16:58:23 UTC,orang bayaran,netral
"banyak mass,,,sayange orange di negeri konoha selalu disanjung sanjung oleh warganya...dianggap paling baik,,,sehingga bebas melakukan apa saja di negeri ini,,krn merasa nggak akan bisa dihukum..",0,2026-03-14 11:11:22 UTC,masssayange orange negeri konoha disanjung sanjung warganyadianggap baiksehingga bebas negeri inikrn nggak dihukum,positif
"Kayaknya orang suruhan.
Wakil Koordinator KontraS, Andrie Yunus, disiram air keras oleh orang tak dikenal di Salemba, Jakarta Pusat, pada Kamis malam (12/3/2026). Serangan terjadi setelah ia merekam podcast bersama YLBHI, dan KontraS menduga ini adalah upaya pembungkaman terhadap pembela HAM. Korban mengalami luka di dada dan tangan.",0,2026-03-14 02:34:59 UTC,kayaknya orang suruhan wakil koordinator kontras andrie yunus disiram air keras orang dikenal salemba jakarta pusat kamis malam serangan merekam podcast ylbhi kontras menduga upaya pembungkaman pembela ham korban mengalami luka dada tangan,negatif
mugkin ada dendam,0,2026-03-13 21:43:45 UTC,mugkin dendam,netral
ya Allah semoga lekas sembuh 🤲 dan kita dijauhkan dari mara bahaya aaaammmmiiiinnn 🤲,33650,2026-03-13 17:21:55 UTC,ya allah semoga lekas sembuh dijauhkan mara bahaya aaaammmmiiiinnn,positif
aamiin allahumma aamiin,80,2026-03-13 17:30:54 UTC,aamiin allahumma aamiin,positif
aamiin ya Allah,17,2026-03-13 19:01:28 UTC,aamiin ya allah,positif
Aamiin YAA ALLAH,40,2026-03-13 17:33:46 UTC,aamiin yaa allah,positif
"Aamiin, yaAllah kasian banget. jahat banget looo orang itu yg siram",17,2026-03-13 17:32:55 UTC,aamiin yaallah kasian banget jahat banget looo orang yg siram,positif
Aamiin ya Allah,7,2026-03-13 18:03:14 UTC,aamiin ya allah,positif
"Aamiin""yaa robbal aalamiin yaaa Allah 🤲",4,2026-03-13 17:32:47 UTC,aamiinyaa robbal aalamiin yaaa allah,positif
Aamiin ya Allah 🤲🤲🤲,2,2026-03-13 21:52:02 UTC,aamiin ya allah,positif
Aamiin,2,2026-03-13 17:30:18 UTC,aamiin,positif
Aamiin Aamiin Aamiin YAA ALLAH,2,2026-03-13 17:29:53 UTC,aamiin aamiin aamiin yaa allah,positif
Aamiin,2,2026-03-13 17:29:33 UTC,aamiin,positif
aamiin,2,2026-03-13 17:29:23 UTC,aamiin,positif
aamiin,1,2026-03-14 05:50:08 UTC,aamiin,positif
Aamiinn🤲,1,2026-03-14 03:56:08 UTC,aamiinn,positif
Aamiin,1,2026-03-13 21:06:12 UTC,aamiin,positif
Amin Tuhan lindungilah kami bersama keluarga dari kejahatan dan bahaya dunia ini Amin Amin Amin,1,2026-03-13 20:58:49 UTC,amin tuhan lindungilah keluarga kejahatan bahaya dunia amin amin amin,positif
Aamiin ya Allah 🤲🏻,1,2026-03-13 20:40:29 UTC,aamiin ya allah,positif
aamiin,0,2026-03-17 11:22:08 UTC,aamiin,positif
"Jmn skrng,yg tdk pnya ide,msalkn tp tdk mau di blng bdoh,jd sllu mau menang sndri klo ngmong,apa lg jmn Konoha skrng,sprti ank kcl,orng primtif,betul.",0,2026-03-16 11:43:00 UTC,jmn skrngyg tdk pnya idemsalkn tp tdk blng bdohjd sllu menang sndri klo ngmongapa lg jmn konoha skrngsprti ank kclorng primtifbetul,netral
aamiin aamiin ya allah,0,2026-03-16 00:08:12 UTC,aamiin aamiin ya allah,positif
Aamiiinnn ya Allah Aamiiinnn🥺🤲🏻,0,2026-03-15 10:58:54 UTC,aamiiinnn ya allah aamiiinnn,netral
kira2 Abang ini lagi up berita apa yah..,160,2026-03-13 17:43:24 UTC,abang up berita yah,netral
Dia yg geruduk dpr pas lagi rapat di hotel bahas uu tni bang wkwkwk💀,1190,2026-03-13 17:48:31 UTC,yg geruduk dpr pas rapat hotel bahas uu tni bang wkwkwk,netral
baca dong itu ada tulisan segede gaban masa gk keliatan,12,2026-03-13 17:46:31 UTC,baca tulisan segede gaban gk keliatan,netral
"bukan caption maksudnya. tapi korban ini kan aktivis, dan dia lagi naikin berita Indonesia apa. gitu. yg sebelum nya juga kasus novel baswedan disiram juga, ya krna ada gesekan sama yg punya wewenang di negara ini",186,2026-03-13 17:53:54 UTC,caption maksudnya korban aktivis naikin berita indonesia gitu yg nya novel baswedan disiram ya krna gesekan yg wewenang negara,netral
podcast tentang DE-MILITER-ISASI udah paham kan pelakunya siapa ???,89,2026-03-13 18:04:14 UTC,podcast demiliterisasi udah paham pelakunya,negatif
Yang saya lihat berita terakhir 10/2025 dia Koordinator kontras ham orang2 hilang dan kekerasan tni terhadap rakyat juga tentang uud tni yg mau disahkan kayak dia gak stuju gitu dgn pemerintahan berbahaya sih buat diri sendiri karna yg di lawan pemerintah😳,36,2026-03-13 18:33:51 UTC,lihat berita koordinator kontras ham orang hilang kekerasan tni rakyat uud tni yg disahkan kayak gak stuju gitu dgn pemerintahan berbahaya sih karna yg lawan pemerintah,negatif
gara2 geruduk dpr klo gak salah,20,2026-03-13 17:51:44 UTC,gara geruduk dpr klo gak salah,netral
makasih yah udah mencerahkan via komen ini,20,2026-03-13 17:48:15 UTC,makasih yah udah mencerahkan via komen,netral
00n bgttt lu😭🙏,2,2026-03-13 18:11:15 UTC,n bgttt lu,netral
Gk ngerti apa yg dimksd komenan gk usah nyolot,1,2026-03-13 21:24:59 UTC,gk ngerti yg dimksd komenan gk nyolot,netral
lu kali yg -literasi,1,2026-03-13 19:07:13 UTC,lu kali yg literasi,netral
"Kabar yang beredar beliau lagi vokal nyoroti masalah fasilitas publik, salah satunya soal posisi jembatan yang nggak aman buat warga. Beliau investigasi dugaan proyek asal-asalan yang bisa bahayain nyawa orang banyak. Makanya serangan ini diduga buat bungkam beliau biar masalah itu nggak makin viral",0,2026-03-16 01:47:28 UTC,kabar beredar beliau vokal nyoroti fasilitas publik salah satunya posisi jembatan nggak aman warga beliau investigasi dugaan proyek asalasalan bahayain nyawa orang serangan diduga bungkam beliau biar nggak viral,netral
"kalau dia org biasa mana mungkin di ancem, pasti dia tau bukti bisnis kuat d pemerintah",0,2026-03-13 22:06:25 UTC,org ancem tau bukti bisnis kuat d pemerintah,positif
intinya berita pejabat yg bermasalah,0,2026-03-13 22:00:45 UTC,intinya berita pejabat yg bermasalah,netral
dimana itu,4105,2026-03-13 17:01:03 UTC,dimana,netral
"itu kan ad tulisan nya di salemba,,kurang besar kah tulisan nya",260,2026-03-13 17:02:44 UTC,ad tulisan nya salembakurang kah tulisan nya,netral
sengaja komen doang mumpung sepi 🗿,34,2026-03-13 17:03:19 UTC,sengaja komen doang mumpung sepi,positif
tlol,129,2026-03-13 17:13:10 UTC,tlol,netral
belajar membaca,7,2026-03-13 17:22:37 UTC,belajar membaca,netral
dongo,4,2026-03-13 17:32:34 UTC,dongo,netral
[Sticker] ,3,2026-03-13 18:03:49 UTC,sticker,netral
Toloool,2,2026-03-13 17:21:11 UTC,toloool,netral
najis,1,2026-03-13 18:49:01 UTC,najis,netral
"kocak, mata lu di kaki?",1,2026-03-13 18:36:39 UTC,kocak mata lu kaki,netral
idiot,1,2026-03-13 17:45:56 UTC,idiot,netral
dih,0,2026-03-25 03:30:47 UTC,dih,netral
gak bisa baca ya?,0,2026-03-13 18:19:59 UTC,gak baca ya,netral
Budayakan membaca,0,2026-03-13 18:04:36 UTC,budayakan membaca,netral
komen juga mikir njir,0,2026-03-13 17:59:07 UTC,komen mikir njir,netral
x tkut bdosa kah buat orng mcm tu???,0,2026-03-13 17:42:07 UTC,x tkut bdosa kah orng mcm tu,netral
Kp talang itu bang belakang kemensos,0,2026-03-13 17:41:33 UTC,kp talang bang kemensos,netral
ditiktok,0,2026-03-13 17:35:47 UTC,ditiktok,netral
minim literasi orangnya,0,2026-03-13 17:35:30 UTC,minim literasi orangnya,netral
semakin memprihatinkan tinggal di negeri ini.... 🥲,96107,2026-03-13 17:32:09 UTC,memprihatinkan tinggal negeri,netral
semua negara juga banyak Kali kasus kriminal nya,1322,2026-03-13 17:39:27 UTC,negara kali kriminal nya,negatif
"dikit"" negeri ini, pdhal yang nyiram termasuk rakyat juga",991,2026-03-13 17:42:09 UTC,dikit negeri pdhal nyiram rakyat,netral
"hampir setiap hari kita liat berita yg aneh2, ya termasuk ini... dan kejadian tidak hanya di satu tempat, hampir seluruh indonesia... jadi nyebutnya apa? negeri, negara, atau nusantara.",402,2026-03-13 17:41:05 UTC,liat berita yg aneh ya kejadian indonesia nyebutnya negeri negara nusantara,netral
"inimah masalah pribadi gda sangkut pautnya sama negara, klo permasalahan negara ketahanan ekonomi dll baru dah lu yapping, ini kan perseturuan dua manusia nyalahin negara? liat di us yg dor dor an lebih banyak dri pda indo hdeh",146,2026-03-13 17:42:28 UTC,inimah pribadi gda sangkut pautnya negara klo permasalahan negara ketahanan ekonomi dll dah lu yapping perseturuan manusia nyalahin negara liat us yg dor dor an dri pda indo hdeh,netral
